,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,5000,95,3,3.49,4.14,0.4,3.49,4.14
1,10000,95,3,2.85,2.46,0.4,2.85,2.46
2,15000,95,3,4.73,5.09,0.4,4.73,5.09
3,20000,95,3,3.69,3.54,0.4,3.69,3.54
4,25000,95,3,2.7,3.37,0.4,2.7,3.37
5,30000,95,3,2.41,2.7,0.4,2.41,2.7
6,35000,95,3,2.47,2.93,0.4,2.47,2.93
7,40000,95,3,3.03,3.6,0.4,3.03,3.6
8,45000,95,3,2.0,2.7,0.4,2.0,2.7
9,50000,95,3,4.62,4.73,0.4,4.62,4.73
10,55000,95,3,2.61,3.67,0.4,2.61,3.67
11,60000,95,3,1.72,3.04,0.4,1.72,3.04
12,65000,95,3,2.18,3.08,0.4,2.18,3.08
13,70000,95,3,2.6,2.78,0.4,2.6,2.78
14,75000,95,3,2.16,3.08,0.4,2.16,3.08
15,80000,95,3,2.02,3.07,0.4,2.02,3.07
16,85000,95,3,1.85,2.71,0.4,1.85,2.71
17,90000,95,3,2.22,3.07,0.4,2.22,3.07
18,95000,95,3,1.98,2.35,0.4,1.98,2.35
19,100000,95,3,1.52,2.35,0.4,1.52,2.35
